English,French,Spanish
Consumer Discretionary,Consommation discrétionnaire,Consumo discrecional
Consumer Electronics,Electronique pour le grand public,Productos electrónicos
Consumer Finance,Crédit à la consommation,Financiacion al consumo
Consumer Goods,Biens de consommation,Bienes de consumo
Consumer Services,Service consommateurs,Servicio al consumidor
Consumer Staples,Produits de base pour la consommation,Productos básicos de consumo
Containers and Packaging,Conteneurs et emballage,Envases y embalajes
Continuing Care and Retirement Services,Services de soins continus et de retraite,Cuidado continuo y servicios de jubilación
Cosmetics,Produits de beauté,Productos cosméticos
Diamond industry,Industrie du diamant,Industria del diamante
Dairy,Laitier,Lechería
Defense,La défense,Defensa
Design,Conception - Design ,Diseño
Distributors,Distributeurs,Distribuidores
Diversified Consumer Services,Services divers pour les consommateurs,Servicios Diversificados al Consumidor
Diversified Financial Services,Services financiers divers,Servicios financieros diversificados
Diversified Telecommunication Services,Services de télécommunications divers,Servicios de telecomunicaciones diversificados
Drink Industry,Industrie de la boisson,Industria de bebidas
Drugs Discovery,Medicaments,Medicinas
Education Industry,Industrie de l'éducation,Industria educativa
Education Management,Gestion de l'éducation,Administración de educación
E-Learning,E-Learning,E-Learning
Electronic Industry,Industrie électronique,Industria electrónica
Electrical Equipment,Équipement électrique,Material eléctrico
Electrical and Electronic Manufacturing,Fabrication électrique et électronique,Fabricación eléctrica y electrónica
Electrical Utilities,Services d'électricité,Servicios de energia y electricidad
Electronic Equipment and Instruments,Équipements et instruments électroniques,Material e instrumentos electrónicos
Employment Movement and Pressure Groups,Mouvement de l'emploi et syndicats,Grupos de movimiento y sindicatos
Energy Equipment and Services,Équipements et services énergétiques,Equipos y servicios energéticos
Energy Industry,Industrie énergétique,Industria energética
Entertainment Industry,Industrie du divertissement,Industria de entretenimiento
Environmental Services,Services environnementaux,Servicios medioambientales
Events Services,Services des événements,Servicios de eventos
Facilities Services,Services des installations,Servicios de instalaciones
Farming,Agriculture,Agricultura
Finance,Finance,Finanzas
Financial Services,Services financiers,Servicios financieros
Fine Art Industry,Industrie des beaux-arts,Industria de Bellas Artes
Fishing Industry,Industrie de la pêche,Industria pesquera
Food and Beverages,Aliments et boissons,Comida y bebidas
Forestry and Forest Products,Foresterie et produits forestiers,Silvicultura y productos forestales
"Foundations, Philanthropists and Non-Profits","Fondations, philanthropes et organisation à but non lucratif","Fundaciones, Filántropos y sin fines de lucro"
Fruit production,Production de fruits,Producción de fruta
Fund-Raising,Collecte de fonds,Recaudación de fondos
Funeral Services,Services funéraires,Servicios fúnebres
Furniture Services,Services d'ameublement,Servicios de muebles y decoración
Furniture Store,Magasin de meubles,Tienda de muebles
Garbage Collection and Waste Management,Collecte des ordures et gestion des déchets,Recolección de basura y gestión de desechos
Gambling and Casinos,Jeux d'argent et casinos,Juegos de apuestas y casinos
General Contractors,Entrepreneurs généraux,Contratistas Generales
"Glass, Ceramics and Concrete","Verre, céramique et béton","Vidrio, Cerámica y Cemento"
Glass Industry,Industrie du verre,Industria del vidrio
Government and Administration,Gouvernement et administration,Gobierno y administración
Government Relations,Relations gouvernementales,Relaciones Gubernamentales
Graphic Design,Conception graphique,Diseño gráfico
Grocery Wholesale,Épicerie en gros,Supermercado al por mayor
Grocery Stores,Épiceries,Tiendas de comestibles
Gas Utilities,Services de Gaz,Servicios de gas
Healthcare Industry,Industrie de la santé,Sector sanitario
"Health, Wellness and Fitness","Santé, Bien-être et Fitness","Salud, bienestar y ejercicio"
Health Care Service Providers,Fournisseurs de services de soins de santé,Proveedores de servicios sanitarios
Healthcare Technology,Technologie de la santé,Tecnología sanitaria
Heavy Industry,Industrie lourde,Industria pesada
Higher Education,Enseignement supérieur,Educación superior
Home Furnishing Supplies and Services,Fournitures et services d'ameublement,Suministros y Servicios de Mobiliario de Hogar
Hospitality Industry,Industrie hôtelière,Industria de la hospitalidad - Residencias
Hospital & Health Care,Hôpital et soins de santé,Hospital y atención médica
"Hotels, Restaurants and Leisure","Hôtels, restaurants et loisirs","Hoteles, restaurantes y ocio"
Household Durables,Biens Durables,Bienes duraderos del hogar
Human Resources,Ressources humaines,Recursos humanos
Import and Export Services,Services d'importation et d'exportation,Servicios de importación y exportación
Individual and Family Services,Services individuels et familiaux,Servicios individuales y familiares
Industrial Automation,Automatisation industrielle,Automatización industrial
Industrial Conglomerate,Conglomérat industriel,Conglomerado industrial
Independent Power and Renewable Electricity Producer,Producteur indépendant de l'énergie et d'électricité renouvelable,Productor de energía independiente y electricidad renovable
Information Services,Services d'information,Servicios de información
Information Technology and Services,Technologie  de l'information et des services,Tecnología de la Información y Servicios
Information Industry,Industrie de l'information,Industria de la información
Insurance Industry,Secteur de l'assurance,Industria de seguros
International Affairs,Affaires internationales,Relaciones Internacionales
International Trade and Development,Commerce international et développement,Comercio internacional y desarrollo
Internet Company,Société d'Internet,Empresa de Internet
Internet Catalog Retail,Catalogue d' internet  vente  au détail,Catálogo de Internet al por menor
Internet and Software Services,Services Internet et logiciels,Servicios de Internet y Software
IT Services,Services informatiques,Servicios de IT
Investment Services,Services d'investissement,Servicios de inversión
Investment Banking,Banque d'investissement,Banca de inversión
Investment Management,Gestion des investissements,Gestión de inversiones
Jewelry Industry,Bijouterie,Joyería
Judiciary Sector,Secteur judiciaire,Sector Judicial
Law Enforcement,Forces de l'ordre,Guardia civil
Law Practice,Pratique du droit,Práctica Jurídica
Lawn and Garden Services,Services de jardinage et de pelouse,Servicios de jardinería y césped
Lawn and Garden Supplies,Matériel de pelouse et de jardinage,Suministro de productos de jardín y césped
Legal Services,Services juridiques,Servicios jurídicos
Legislative Office,Cabinet juridique,Oficina Legislativa
Leisure Products,Produits de loisirs,Productos de ocio
"Leisure, Travel and Tourism","Loisirs, voyages et tourisme","Ocio, viajes y turismo"
LGBT Issues,Affaires LGBT,Asuntos de LGBT
Library,Bibliothèque,Biblioteca
Life Science,Sciences de la vie,Ciencias de la vida
"Liquor, Wine and Beer","Alcool, vin et bière","Licor, vino y cerveza"
Lobbyists,Lobbyistes,Cabilderos
Lodging / Tourism,Logement / Tourisme,Alojamiento / Turismo
Logistics and Supply Chain,Logistique et chaîne d'approvisionnement,Logística y cadena de suministro
"Logging, Timber & Paper Mills","Coupe de bois, usines de bois et de papier","Madereros de tala, madera y papel"
Luxury Goods,Articles de luxe,Artículos de lujo
Machinery,Engins,Maquinaria
Management Consulting,Conseil en management,Gestión de consultoría
Marine,Marin,Marina
Maritime,Maritime,Marítimo
Marketing and Advertising,Marketing et publicité,Marketing y publicidad
Market Research,Étude de marché,Investigación de mercado
Manufacturing,Fabrication,Fabricación
Mass Media,Médias,Medios de comunicación
Mechanical or Industrial Engineering,Génie mécanique ou industriel,Ingeniería industrial o mecánica
Media Production,Production d´instruments,Producción de medios
Medical Technology,Technologie médicale,Tecnología Medica
Medical Devices,Équipement médical,Dispositivos médicos
Medical and diagnostic laboratories,Laboratoires médicaux et de diagnostique,Laboratorios médicos y de diagnóstico
Medical Practice,Pratique médicale,Práctica médica
Mental Health Care,Soin de la santé mentale,Cuidado de la salud mental
Military,Défense,Militar
Mining,Exploitation minière,Minería
Motion Pictures and Film,Long-métrage et films,Largometrajes y películas
Multiline Retail,Multiservicios,Multiservicios
Museums and Institutions,Musées et institutions,Museos e instituciones
Music Recording and Production,Enregistrement et production de musique,Grabación y producción de música
Music Sales and Distribution,Ventes et distribution de musique,Venta y distribución de música
Nanotechnology,Nanotechnologie,Nanotecnología
Natural Gas Pipelines,Gazoducs,Gasoductos de gas natural
Newspaper Company,Société de journaux,Compañía de periódicos
Nonprofit Organization Management,Gestion des organisations à but non lucratif,Gestión de organizaciones sin animo de lucro
Nonprofits and Foundations,A but non lucratif et fondations,Sin animo de lucro y fundaciones
Nonmetallic mineral mining and quarrying,Exploitation et extraction de minéraux non métalliques,Minería de minerales no metálicos y canteras
Nuclear industry,Industrie nucléaire,Industria nuclear
Nutritional and Dietary Supplements,Compléments alimentaires et nutritionnels,Suplementos nutricionales y dietéticos
Oil and Gas,Pétrole et gaz,Petróleo y gas
Online Media,Média en ligne,Medios online
Outsourcing and Offshoring Services,Services d'externalisation et de délocalisation,Servicios de externalización y deslocalización
Outpatient Care Center,Centre de soins ambulatoire,Centro de atención ambulatoria
Package and Freight Delivery,Livraison de colis et  frèt,Entrega de paquetes y flete
Packaging Services,Services d'emballage,Servicios de embalaje
Paint and Coating,Peinture et revêtement,Pintura y recubrimiento
Paper & Paper Products,Papier et produits du papier,Papel y productos de papel 
Payday Lenders,Prêteurs d´argent,Prestamistas 
Performing Arts,Arts scéniques,Artes escénicas
Personal Products,Produits personnels,Productos personales
Petroleum and Petroleum Products,Pétrole et produits pétroliers,Petróleo y productos petrolíferos
Pharmaceuticals,Produits phamacéutiques,Productos farmacéuticos
Philanthropy,Philanthropie,Filantropía
Photography,Photographie,Fotografía
Plantation Agriculture,Plantation agricole,Plantación de Agricultura
Plastic Industry,Industrie du plastique,Industria plástica
Political Organization,Partie politique,Partido político
Postal Services,Services postaux,Servicios postales
Power Utilities,Services d´énergie,Servicios de energía
Primary/Secondary Education,Enseignement primaire / secondaire,Educación primaria / secundaria
Printing Services,Services d'impression,Servicios de impresión
Professional Sports,Sports professionnels,Deportes profesionales
Professional Sports Arenas,Cours Sportifs Professionnels,Arenas Deportivas Profesionales
Professional Sports Equipment Rental,Location d'équipements de sport professionnel,Alquiler de equipos deportivos profesionales
Professional Training & Coaching,Formation professionnelle et coatching,Entrenamiento profesional y entrenamiento
Program Development,Développement de programme,Desarrollo de programa
Public Policy,Politique publique,Política pública
Public Relations and Communications,Relations Publiques et Communications,Relaciones públicas y comunicaciones
Public Safety,La sécurité publique,Seguridad Pública
Publishing & Printing,Publication et impression,Publicación e impresión
Pulp and paper industry,Industrie de la pâte et du papier,Industria de la pulpa y papel
Rail Services,Services ferroviaires,Servicios ferroviarios
Ranching Services,Services d'élevage,Servicios de ganadería
Ranching Rentals & Arenas,Locations de sables pour élevage,Alquileres de arenas para ganaderia
Real Estate,Immobilier,Inmobiliaria
Recreational Facilities and Services,Installations et services de loisirs,Instalaciones y servicios recreativos
Real Estate Investment Trusts (REITs),Fonds de placement immobilier (FPI),Fondos de inversión inmobiliaria (REIT)
Recycling Industry,Industrie du recyclage,Industria de reciclaje
Religious Institutions,Institutions religieuses - Eglise,Instituciones religiosas - Iglesia
Renewables and Environment,Renouvelables et Environnement,Renovables y Medio Ambiente
Research,Recherche,Investigación
Restaurants,Restaurants,Restaurantes
Restaurants and Drinking Establishments,Restaurants et établissements de restauration,Restaurantes y establecimientos de bebidas
Retail Services,Services de vente au détail,Servicios de venta al por menor
Road and Rail Construction,Construction de routes et de voies ferrées,Construcción de carreteras y ferrocarriles
Rubber Industry,Industrie du caoutchouc,Industria del caucho
Sales Services,Services de vente,Servicios de ventas
School,École,Colegio - Escuela
Security and Investigations,Sécurité et enquêtes,Seguridad e Investigaciones
Securities & Investment,Titres mobiliers et participations,Valores mobiliarios y participaciones
Semiconductors,Semi-conducteurs,Semiconductores
Semiconductors & Semiconductor Equipment,Semi-conducteurs et équipements semi-conducteurs,Semiconductores y equipos semiconductores
Sharing Economy,Économie partagée,Economía compartida
Shipbuilding Services,Services de construction navale,Servicios de construcción naval
Shipyard Services,Services du chantier naval,Servicios de astilleros
Software Products,Produits logiciels,Productos de software
Software Services,Services logiciels,Servicios de software
Space Industry,Industrie spatiale,Industria Espacial
Specialty Retail,Vente au détail spécialisée,Especialidad minorista
Specialized Design Services,Services de design spécialisés,Servicios de diseño especializado
Sports Industry,Industrie du sport,Industria deportiva
Staffing and Recruiting,Dotation du personnel et recrutement,Dotación de personal y reclutamiento
Steel Industry,Industrie sidérurgique,Industria metalúrgica
Stock Brokers/Investment Industry,Courtiers en bourse / Industrie d'investissement,Corredores de Bolsa / Industria de Inversión
Sugar Industry,Industrie du sucrière,Industria azucarera
Supermarket,Supermarché,Supermercado
Support activities for mining,Activités de soutien à l'exploitation minière,Actividades de apoyo para la minería
Telecommunication industry,Secteur des télécommunications,Industria de telecomunicaciones
Telecommunication Services,Services des télécommunications,Servicios de telecomunicación
Telephone Utilities,Services téléphoniques,Servicios telefónicos
Textile Industry,Industrie textile,Industria textil
"Textiles, Apparel and Luxury Goods","Textiles, vêtements et articles de luxe","Textiles, indumentaria y artículos de lujo"
Thrifts and Mortgage Finance,Epargnes et prêts hypothécaires,Ahorros y financiamiento hipotecario
"Timber, Logging & Paper Mills","Bois, exploitation forestière et usines à papier","Madera, tala y molinos de papel"
Tire Industry,Industrie du pneu,Industria del neumático
Tobacco Industry,Industrie du tabac,Industria del tabaco
Toy Industry,Industrie du jouet,Industria del juguete
Tourism Industry,Industrie du tourisme,Industria del turismo
Trading Companies,Sociétés commerciales,Companías comerciales
Transport Industry,Industrie du transport,Industria del transporte
Translation and Localization Services,Services de traduction et de localisation,Servicios de traducción y localización
Transportation/Trucking/Railroad,Transport / camion / chemin de fer,Transporte / Camiones / Ferrocarril
Transportation Infrastructure,Infrastructure de transport,Infraestructura de transporte
TV Production,Production TV,Producción de TV
University,Université,Universidad
Utilities - Electricity,Services  - électricité,Servicios públicos - Electricidad
Utilities - Gas,Services  - Gaz,Servicios - Gas
Utilities - Water,Services  - Eau,Servicios - Agua
Vegetables & Fruits,Légumes et Fruits,Verduras y frutas
Venture Capital & Private Equity,Capital risque et capital-investissement,Capital de riesgo y capital privado
Veterinary,Vétérinaire,Veterinaria
Vocational Institution,Institution professionnelle,Institución vocacional
Warehousing,Entreposage,Almacenaje
Warehouse and storage,Entrepôt et stockage,Almacén y almacenamiento
Waste Management,La gestion des déchets,Gestión de residuos
Water industry,Industrie de l'eau,Industria del agua
Water Utilities,Services d'eau,Servicios de agua
Web Design and Development,Conception et développement Web,Diseño web y desarrollo
Wholesale,Vente en gros,Venta al por mayor
Wireless and Telecommunication Products,Produits sans fil et de télécommunications,Productos inalámbricos y de telecomunicaciones
Wireless and Telecommunication Services,Services sans fil et de télécommunications,Servicios inalámbricos y de telecomunicaciones
Writing and Editing,Redaction et édition,Escritura y edición
