English,French,Spanish
Pulp and paper industry,Industrie des pâtes et papiers,
Rail Services,Services ferroviaires,
Ranching Services,Services d'élevage,
Ranching Rentals & Arenas,Locations d'élevage et arénas,
Real Estate,Immobilier,
Recreational Facilities and Services,Installations et services de loisirs,
Real Estate Investment Trusts (REITs),Fonds de placement immobilier (FPI),
Recycling Industry,Industrie du recyclage,
Religious Institutions,Institutions religieuses,
Renewables and Environment,Renouvelables et Environnement,
Research,Recherche,
Restaurants,Restaurants,
Restaurants and Drinking Establishments,Restaurants et établissements de restauration,
Retail Services,Services de vente au détail,
Road and Rail Construction,Construction de routes et de voies ferrées,
Rubber Industry,Industrie du caoutchouc,
Sales Services,Services de vente,
School,École,
Security and Investigations,Sécurité et enquêtes,
Securities & Investment,Titres et investissement,
Semiconductors,Semi-conducteurs,
Semiconductors & Semiconductor Equipment,Semi-conducteurs et équipement semi-conducteur,
Sharing Economy,Économie de partage,
Shipbuilding Services,Services de construction navale,
Shipyard Services,Services de chantier naval,
Software Products,Produits logiciels,
Software Services,Services logiciels,
Space Industry,Industrie spatiale,
Specialty Retail,Vente au détail spécialisée,
Specialized Design Services,Services de design spécialisés,
Sports Industry,Industrie du sport,
Staffing and Recruiting,Dotation et recrutement,
Steel Industry,Industrie sidérurgique,
Stock Brokers/Investment Industry,Courtiers en valeurs mobilières / Industrie d'investissement,
Sugar Industry,Industrie du sucre,
Supermarket,Supermarché,
Support activities for mining,Activités de soutien à l'exploitation minière,
Telecommunication industry,Secteur des télécommunications,
Telecommunication Services,Services de télécommunication,
Telephone Utilities,Services téléphoniques,
Textile Industry,Industrie textile,
"Textiles, Apparel and Luxury Goods","Textiles, vêtements et articles de luxe",
Thrifts and Mortgage Finance,Financement des prêts hypothécaires et des prêts hypothécaires,
"Timber, Logging & Paper Mills","Bois, exploitation forestière et usines de papier",
Tire Industry,Industrie du pneu,
Tobacco Industry,Industrie du tabac,
Toy Industry,Industrie du jouet,
Tourism Industry,Industrie du tourisme,
Trading Companies,Sociétés commerciales,
Transport Industry,Industrie du transport,
Translation and Localization Services,Services de traduction et de localisation,
Transportation/Trucking/Railroad,Transport / camionnage / chemin de fer,
Transportation Infrastructure,Infrastructure de transport,
TV Production,Production TV,
University,Université,
Utilities - Electricity,Services publics - électricité,
Utilities - Gas,Services publics - Gaz,
Utilities - Water,Services publics - Eau,
Vegetables & Fruits,Légumes et Fruits,
Venture Capital & Private Equity,Capital de risque et capital-investissement,
Veterinary,Vétérinaire,
Vocational Institution,Institution professionnelle,
Warehousing,Entreposage,
Warehouse and storage,Entrepôt et stockage,
Waste Management,La gestion des déchets,
Water industry,Industrie de l'eau,
Water Utilities,Services d'eau,
Web Design and Development,Conception et développement Web,
Wholesale,Vente en gros,
Wireless and Telecommunication Products,Produits sans fil et de télécommunication,
Wireless and Telecommunication Services,Services sans fil et de télécommunication,
Writing and Editing,Redaction et édition,
