COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
ALGERIA,Adrar	,Adrar	,ALGÉRIE,Adrar	,Adrar	,,,,,
ALGERIA,Biskra	,Ouled Djellal	,ALGÉRIE,Biskra	,Ouled Djellal	,,,,,
ALGERIA,Biskra	,Tolga	,ALGÉRIE,Biskra	,Tolga	,,,,,
ALGERIA,Biskra	,Sidi Khaled	,ALGÉRIE,Biskra	,Sidi Khaled	,,,,,
ALGERIA,Blida	,Beni Tamou	,ALGÉRIE,Blida	,Beni Tamou	,,,,,
ALGERIA,Blida	,Blida (El Boulaïda)	,ALGÉRIE,Blida	,Blida (El Boulaïda)	,,,,,
ALGERIA,Blida	,Boufarik	,ALGÉRIE,Blida	,Boufarik	,,,,,
ALGERIA,Blida	,Bougara	,ALGÉRIE,Blida	,Bougara	,,,,,
ALGERIA,Blida	,El Affroun	,ALGÉRIE,Blida	,El Affroun	,,,,,
ALGERIA,Blida	,Larbaâ	,ALGÉRIE,Blida	,Larbaâ	,,,,,
ALGERIA,Blida	,Meftah	,ALGÉRIE,Blida	,Meftah	,,,,,
ALGERIA,Blida	,Mouzaïa	,ALGÉRIE,Blida	,Mouzaïa	,,,,,
ALGERIA,Blida	,Ouled Selama	,ALGÉRIE,Blida	,Ouled Selama	,,,,,
ALGERIA,Bordj Bou Arreridj	,Bordj Bou Arreridj	,ALGÉRIE,Bordj Bou Arreridj	,Bordj Bou Arreridj	,,,,,
ALGERIA,Bordj Bou Arreridj	,Ras El Oued	,ALGÉRIE,Bordj Bou Arreridj	,Ras El Oued	,,,,,
ALGERIA,Bouira	,Aïn Bessem	,ALGÉRIE,Bouira	,Aïn Bessem	,,,,,
ALGERIA,Bouira	,Lakhdaria	,ALGÉRIE,Bouira	,Lakhdaria	,,,,,
ALGERIA,Bouira	,Sour El Ghozlane	,ALGÉRIE,Bouira	,Sour El Ghozlane	,,,,,
ALGERIA,Bouira	,Bouira	,ALGÉRIE,Bouira	,Bouira	,,,,,
ALGERIA,Boumerdès	,Bordj Menaïel	,ALGÉRIE,Boumerdès	,Bordj Menaïel	,,,,,
ALGERIA,Boumerdès	,Boudouaou	,ALGÉRIE,Boumerdès	,Boudouaou	,,,,,
ALGERIA,Boumerdès	,Boumerdès	,ALGÉRIE,Boumerdès	,Boumerdès	,,,,,
ALGERIA,Boumerdès	,Khemis El Khechna	,ALGÉRIE,Boumerdès	,Khemis El Khechna	,,,,,
ALGERIA,Boumerdès	,Ouled Moussa	,ALGÉRIE,Boumerdès	,Ouled Moussa	,,,,,
ALGERIA,Chlef	,Boukadir	,ALGÉRIE,Chlef	,Boukadir	,,,,,
ALGERIA,Chlef	,Chettia	,ALGÉRIE,Chlef	,Chettia	,,,,,
ALGERIA,Chlef	,Chlef (El Asnam)	,ALGÉRIE,Chlef	,Chlef (El Asnam)	,,,,,
ALGERIA,Constantine	,Aïn Smara	,ALGÉRIE,Constantine	,Aïn Smara	,,,,,
ALGERIA,Constantine	,Constantine (Qacentina)	,ALGÉRIE,Constantine	,Constantine (Qacentina)	,,,,,
ALGERIA,Constantine	,El Khroub	,ALGÉRIE,Constantine	,El Khroub	,,,,,
ALGERIA,Constantine	,Hamma Bouziane	,ALGÉRIE,Constantine	,Hamma Bouziane	,,,,,
ALGERIA,Constantine	,La Nouvelle Ville Ali Mendjeli	,ALGÉRIE,Constantine	,La Nouvelle Ville Ali Mendjeli	,,,,,
ALGERIA,Constantine	,Zighout Youcef	,ALGÉRIE,Constantine	,Zighout Youcef	,,,,,
ALGERIA,Djelfa	,Aïn Oussera	,ALGÉRIE,Djelfa	,Aïn Oussera	,,,,,
ALGERIA,Djelfa	,Djelfa	,ALGÉRIE,Djelfa	,Djelfa	,,,,,
ALGERIA,Djelfa	,El Idrissia (Zenina)	,ALGÉRIE,Djelfa	,El Idrissia (Zenina)	,,,,,
ALGERIA,Djelfa	,Faidh El Botma	,ALGÉRIE,Djelfa	,Faidh El Botma	,,,,,
ALGERIA,Djelfa	,Hassi Bahbah	,ALGÉRIE,Djelfa	,Hassi Bahbah	,,,,,
ALGERIA,Djelfa	,Messaâd	,ALGÉRIE,Djelfa	,Messaâd	,,,,,
ALGERIA,El Bayadh	,El Bayadh	,ALGÉRIE,El Bayadh	,El Bayadh	,,,,,
ALGERIA,El Djazaïr [Algiers]	,Aïn Taya	,ALGÉRIE,El Djazaïr [Algiers]	,Aïn Taya	,,,,,
ALGERIA,El Djazaïr [Algiers]	,Douéra	,ALGÉRIE,El Djazaïr [Algiers]	,Douéra	,,,,,
ALGERIA,El Djazaïr [Algiers]	,El Djazaïr [Algiers]	,ALGÉRIE,El Djazaïr [Algiers]	,El Djazaïr [Algiers]	,,,,,
ALGERIA,El Djazaïr [Algiers]	,Rouïba	,ALGÉRIE,El Djazaïr [Algiers]	,Rouïba	,,,,,
ALGERIA,El Djazaïr [Algiers]	,Sidi Moussa	,ALGÉRIE,El Djazaïr [Algiers]	,Sidi Moussa	,,,,,
ALGERIA,El Oued	,Djamaa	,ALGÉRIE,El Oued	,Djamaa	,,,,,
ALGERIA,El Oued	,El Oued (El Wad)	,ALGÉRIE,El Oued	,El Oued (El Wad)	,,,,,
ALGERIA,El Oued	,Guemar	,ALGÉRIE,El Oued	,Guemar	,,,,,
ALGERIA,El Oued	,Reguiba	,ALGÉRIE,El Oued	,Reguiba	,,,,,
ALGERIA,El Tarf	,El Tarf	,ALGÉRIE,El Tarf	,El Tarf	,,,,,
ALGERIA,Ghardaïa	,El Meniaa (El Goléa)	,ALGÉRIE,Ghardaïa	,El Meniaa (El Goléa)	,,,,,
ALGERIA,Ghardaïa	,Ghardaïa	,ALGÉRIE,Ghardaïa	,Ghardaïa	,,,,,
ALGERIA,Ghardaïa	,Métlili	,ALGÉRIE,Ghardaïa	,Métlili	,,,,,
ALGERIA,Ghardaïa	,El Guerrara	,ALGÉRIE,Ghardaïa	,El Guerrara	,,,,,
ALGERIA,Ghardaïa	,Berriane	,ALGÉRIE,Ghardaïa	,Berriane	,,,,,
ALGERIA,Guelma	,Guelma	,ALGÉRIE,Guelma	,Guelma	,,,,,
ALGERIA,Illizi	,Illizi	,ALGÉRIE,Illizi	,Illizi	,,,,,
ALGERIA,Jijel	,El Milia	,ALGÉRIE,Jijel	,El Milia	,,,,,
ALGERIA,Jijel	,Jijel	,ALGÉRIE,Jijel	,Jijel	,,,,,
ALGERIA,Jijel	,Taher	,ALGÉRIE,Jijel	,Taher	,,,,,
ALGERIA,Khenchela	,Kais	,ALGÉRIE,Khenchela	,Kais	,,,,,
ALGERIA,Khenchela	,El Mahmal (Tazougart)	,ALGÉRIE,Khenchela	,El Mahmal (Tazougart)	,,,,,
ALGERIA,Laghouat	,Aflou	,ALGÉRIE,Laghouat	,Aflou	,,,,,
ALGERIA,Mascara	,Mascara (Mouaskar)	,ALGÉRIE,Mascara	,Mascara (Mouaskar)	,,,,,
ALGERIA,Mascara	,Mohammadia	,ALGÉRIE,Mascara	,Mohammadia	,,,,,
ALGERIA,Mascara	,Sig	,ALGÉRIE,Mascara	,Sig	,,,,,
ALGERIA,Mascara	,Teghenif	,ALGÉRIE,Mascara	,Teghenif	,,,,,
ALGERIA,Médéa	,Berrouaghia	,ALGÉRIE,Médéa	,Berrouaghia	,,,,,
ALGERIA,Médéa	,Chellalet El Adhaoura	,ALGÉRIE,Médéa	,Chellalet El Adhaoura	,,,,,
ALGERIA,Médéa	,Ksar El Boukhari	,ALGÉRIE,Médéa	,Ksar El Boukhari	,,,,,
ALGERIA,Médéa	,Médéa (Lemdiyya)	,ALGÉRIE,Médéa	,Médéa (Lemdiyya)	,,,,,
ALGERIA,Mila	,Chelghoum Laïd	,ALGÉRIE,Mila	,Chelghoum Laïd	,,,,,
ALGERIA,Mila	,Ferjioua	,ALGÉRIE,Mila	,Ferjioua	,,,,,
ALGERIA,Mila	,Grarem Gouga	,ALGÉRIE,Mila	,Grarem Gouga	,,,,,
ALGERIA,Mila	,Mila	,ALGÉRIE,Mila	,Mila	,,,,,
ALGERIA,Mila	,Tadjenanet	,ALGÉRIE,Mila	,Tadjenanet	,,,,,
ALGERIA,Mila	,Teleghma	,ALGÉRIE,Mila	,Teleghma	,,,,,
ALGERIA,Mostaganem	,Mostaganem (Mestghanem)	,ALGÉRIE,Mostaganem	,Mostaganem (Mestghanem)	,,,,,
ALGERIA,M'Sila	,Aïn El Hadjel	,ALGÉRIE,M'Sila	,Aïn El Hadjel	,,,,,
ALGERIA,M'Sila	,Aïn El Melh	,ALGÉRIE,M'Sila	,Aïn El Melh	,,,,,
ALGERIA,M'Sila	,Bou Saâda	,ALGÉRIE,M'Sila	,Bou Saâda	,,,,,
ALGERIA,M'Sila	,M'Sila	,ALGÉRIE,M'Sila	,M'Sila	,,,,,
ALGERIA,M'Sila	,Sidi Aïssa	,ALGÉRIE,M'Sila	,Sidi Aïssa	,,,,,
ALGERIA,Naâma	,Aïn Sefra	,ALGÉRIE,Naâma	,Aïn Sefra	,,,,,
ALGERIA,Naâma	,Naâma	,ALGÉRIE,Naâma	,Naâma	,,,,,
ALGERIA,Oran	,Aïn El Turk	,ALGÉRIE,Oran	,Aïn El Turk	,,,,,
ALGERIA,Oran	,Arzew	,ALGÉRIE,Oran	,Arzew	,,,,,
ALGERIA,Oran	,En Nedjma	,ALGÉRIE,Oran	,En Nedjma	,,,,,
ALGERIA,Oran	,Es Sénia	,ALGÉRIE,Oran	,Es Sénia	,,,,,
ALGERIA,Oran	,Gdyel	,ALGÉRIE,Oran	,Gdyel	,,,,,
ALGERIA,Oran	,Hassi Bounif	,ALGÉRIE,Oran	,Hassi Bounif	,,,,,
ALGERIA,Ouargla	,Hassi Messaoud	,ALGÉRIE,Ouargla	,Hassi Messaoud	,,,,,
ALGERIA,Ouargla	,Ouargla (Wargla)	,ALGÉRIE,Ouargla	,Ouargla (Wargla)	,,,,,
ALGERIA,Ouargla	,Touggourt	,ALGÉRIE,Ouargla	,Touggourt	,,,,,
ALGERIA,Oum El Bouaghi	,Aïn Béïda	,ALGÉRIE,Oum El Bouaghi	,Aïn Béïda	,,,,,
ALGERIA,Oum El Bouaghi	,Aïn Fakroun	,ALGÉRIE,Oum El Bouaghi	,Aïn Fakroun	,,,,,
ALGERIA,Oum El Bouaghi	,Aïn Kercha	,ALGÉRIE,Oum El Bouaghi	,Aïn Kercha	,,,,,
ALGERIA,Oum El Bouaghi	,Aïn M'lila	,ALGÉRIE,Oum El Bouaghi	,Aïn M'lila	,,,,,
ALGERIA,Oum El Bouaghi	,Oum El Bouaghi	,ALGÉRIE,Oum El Bouaghi	,Oum El Bouaghi	,,,,,
ALGERIA,Relizane	,Ammi Moussa	,ALGÉRIE,Relizane	,Ammi Moussa	,,,,,
ALGERIA,Relizane	,Oued Rhiou	,ALGÉRIE,Relizane	,Oued Rhiou	,,,,,
ALGERIA,Saïda	,,ALGÉRIE,Saïda	,,,,,,
ALGERIA,Sétif	,Aïn Arnat	,ALGÉRIE,Sétif	,Aïn Arnat	,,,,,
ALGERIA,Sétif	,Aïn Azel	,ALGÉRIE,Sétif	,Aïn Azel	,,,,,
ALGERIA,Sétif	,Aïn Oulmane	,ALGÉRIE,Sétif	,Aïn Oulmane	,,,,,
ALGERIA,Sétif	,Bougaa	,ALGÉRIE,Sétif	,Bougaa	,,,,,
ALGERIA,Sidi bel Abbès	,Sfisef	,ALGÉRIE,Sidi bel Abbès	,Sfisef	,,,,,
ALGERIA,Sidi bel Abbès	,Sidi bel Abbès	,ALGÉRIE,Sidi bel Abbès	,Sidi bel Abbès	,,,,,
ALGERIA,Skikda	,Azzaba	,ALGÉRIE,Skikda	,Azzaba	,,,,,
ALGERIA,Skikda	,El Harrouch	,ALGÉRIE,Skikda	,El Harrouch	,,,,,
ALGERIA,Skikda	,Skikda	,ALGÉRIE,Skikda	,Skikda	,,,,,
ALGERIA,Souk Ahras	,M'Daourouch	,ALGÉRIE,Souk Ahras	,M'Daourouch	,,,,,
ALGERIA,Souk Ahras	,Sedrata	,ALGÉRIE,Souk Ahras	,Sedrata	,,,,,
ALGERIA,Souk Ahras	,Souk Ahras	,ALGÉRIE,Souk Ahras	,Souk Ahras	,,,,,
ALGERIA,Tamanrasset	,Tamanrasset (Tamenghasset)	,ALGÉRIE,Tamanrasset	,Tamanrasset (Tamenghasset)	,,,,,
ALGERIA,Tébessa	,Bir El Ater	,ALGÉRIE,Tébessa	,Bir El Ater	,,,,,
ALGERIA,Tébessa	,Cheria	,ALGÉRIE,Tébessa	,Cheria	,,,,,
ALGERIA,Tébessa	,Tébessa	,ALGÉRIE,Tébessa	,Tébessa	,,,,,
ALGERIA,Tiaret	,Frenda	,ALGÉRIE,Tiaret	,Frenda	,,,,,
ALGERIA,Tiaret	,Ksar Chellala	,ALGÉRIE,Tiaret	,Ksar Chellala	,,,,,
ALGERIA,Tiaret	,Mahdia	,ALGÉRIE,Tiaret	,Mahdia	,,,,,
ALGERIA,Tiaret	,Sougueur	,ALGÉRIE,Tiaret	,Sougueur	,,,,,
ALGERIA,Tiaret	,Tiaret (Tihert)	,ALGÉRIE,Tiaret	,Tiaret (Tihert)	,,,,,
ALGERIA,Tindouf	,Tindouf	,ALGÉRIE,Tindouf	,Tindouf	,,,,,
ALGERIA,Tipaza	,Bou Ismaïl	,ALGÉRIE,Tipaza	,Bou Ismaïl	,,,,,
ALGERIA,Tipaza	,Hadjout	,ALGÉRIE,Tipaza	,Hadjout	,,,,,
ALGERIA,Tipaza	,Koléa	,ALGÉRIE,Tipaza	,Koléa	,,,,,
ALGERIA,Tipaza	,Tipaza	,ALGÉRIE,Tipaza	,Tipaza	,,,,,
ALGERIA,Tipaza	,Cherchell	,ALGÉRIE,Tipaza	,Cherchell	,,,,,
ALGERIA,Tissemsilt	,Théniet El Haâd	,ALGÉRIE,Tissemsilt	,Théniet El Haâd	,,,,,
ALGERIA,Tissemsilt	,Tissemsilt	,ALGÉRIE,Tissemsilt	,Tissemsilt	,,,,,
ALGERIA,Tizi Ouzou	,Azazga	,ALGÉRIE,Tizi Ouzou	,Azazga	,,,,,
ALGERIA,Tizi Ouzou	,Draâ Ben Khedda	,ALGÉRIE,Tizi Ouzou	,Draâ Ben Khedda	,,,,,
ALGERIA,Tizi Ouzou	,Maâtkas	,ALGÉRIE,Tizi Ouzou	,Maâtkas	,,,,,
ALGERIA,Tizi Ouzou	,Tizi Ouzou	,ALGÉRIE,Tizi Ouzou	,Tizi Ouzou	,,,,,
ALGERIA,Tlemcen	,Ghazaouet	,ALGÉRIE,Tlemcen	,Ghazaouet	,,,,,
ALGERIA,Tlemcen	,Hennaya	,ALGÉRIE,Tlemcen	,Hennaya	,,,,,
ALGERIA,Tlemcen	,Maghnia	,ALGÉRIE,Tlemcen	,Maghnia	,,,,,
ALGERIA,Tlemcen	,Nedroma	,ALGÉRIE,Tlemcen	,Nedroma	,,,,,
ALGERIA,Tlemcen	,Ouled Mimoun	,ALGÉRIE,Tlemcen	,Ouled Mimoun	,,,,,
ALGERIA,Tlemcen	,Remchi	,ALGÉRIE,Tlemcen	,Remchi	,,,,,
ALGERIA,Tlemcen	,Sebdou	,ALGÉRIE,Tlemcen	,Sebdou	,,,,,
ALGERIA,Tlemcen	,Tlemcen (Tilimsen)	,ALGÉRIE,Tlemcen	,Tlemcen (Tilimsen)	,,,,,
